                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8937,                 2.9794,                 1.9656,                 1.6562,                 6.3443,                 1.7892,                0.03275,                0.02459,                0.00697,                0.00219,                 3.0652,                 3.8208,                  3.083,                 2.7621,                 19.989,                 2.8317,             0.00054359,             0.00054359,             0.00054359
                      2,                 1.9121,                 2.3784,                 1.9194,                 1.7836,                 2.9479,                 1.7715,                0.09512,                0.04736,                 0.0142,                0.00487,                 3.6515,                 5.0388,                 4.9856,                 3.2211,                 7.5113,                 3.3561,              0.0010884,              0.0010884,              0.0010884
                      3,                 1.9224,                 2.4199,                 1.9322,                 1.8164,                 2.8799,                 1.7914,                0.51087,                0.06762,                0.00572,                0.00156,                 3.3113,                 83.243,                 4.0415,                 3.7622,                 97.789,                 4.9509,              0.0016222,              0.0016222,              0.0016222
                      4,                 1.9365,                  2.377,                 1.9338,                 1.8737,                 2.7493,                  1.801,                 0.0615,                0.04904,                0.00985,                  0.003,                 3.8187,                 4.3177,                  3.808,                 3.6318,                   5.59,                 3.6821,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.8635,                 2.3113,                 1.8895,                 1.8498,                 2.6374,                 1.7596,                0.11358,                0.12222,                0.04751,                0.01499,                 2.8194,                 3.8996,                 2.9023,                 2.7714,                 4.3019,                 2.8242,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.8359,                 2.2588,                 1.8385,                 1.7963,                  2.594,                  1.711,                0.16257,                0.31977,                0.13162,                0.04555,                 2.1905,                 5.0787,                 2.2141,                 2.1967,                 4.5869,                 2.0793,               0.001601,               0.001601,               0.001601
                      7,                 1.8048,                 2.3114,                 1.8437,                 1.7592,                 2.6115,                 1.6894,                 0.1777,                 0.2565,                0.11269,                 0.0365,                 2.2146,                 3.3335,                 2.1739,                 2.2052,                 3.5583,                 2.0637,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.8115,                 2.2127,                 1.8006,                  1.768,                 2.5145,                 1.6687,                0.30882,                0.34189,                0.23143,                0.08401,                  2.017,                 2.4526,                 1.9497,                 1.9899,                 2.7899,                 1.8094,               0.001568,               0.001568,               0.001568
                      9,                 1.7721,                 2.1678,                 1.7773,                 1.7462,                 2.4949,                 1.6558,                0.31558,                0.40126,                0.25753,                0.09694,                 1.9515,                 2.2148,                  1.885,                 1.8961,                 2.4606,                 1.7695,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.7626,                 2.1532,                 1.7764,                 1.7512,                 2.4495,                 1.6473,                0.34037,                0.37494,                0.26849,                0.10201,                 1.9502,                 2.3335,                 1.8667,                 1.9428,                 2.6447,                 1.7525,               0.001535,               0.001535,               0.001535
                     11,                 1.7811,                 2.1902,                 1.7929,                 1.7713,                 2.4416,                 1.6932,                0.24097,                0.37934,                0.18977,                0.07035,                 2.0104,                  2.719,                 1.9668,                 1.9847,                 2.9284,                  1.838,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.6989,                 2.1038,                 1.7544,                 1.6771,                 2.4033,                 1.6181,                0.36236,                0.39156,                0.28652,                0.11588,                  1.861,                 2.2104,                 1.8448,                 1.8034,                 2.3609,                  1.727,               0.001502,               0.001502,               0.001502
                     13,                  1.723,                 2.1002,                 1.7616,                 1.6743,                  2.393,                 1.6236,                0.39418,                0.38181,                0.32007,                0.13216,                 1.8546,                 2.2109,                 1.7928,                 1.8425,                 2.3882,                 1.7141,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.6977,                 2.0446,                 1.7398,                 1.6723,                 2.3285,                 1.6091,                0.38885,                0.46368,                0.36196,                0.15065,                 1.8687,                 2.1554,                 1.8175,                 1.8205,                 2.3946,                 1.7189,               0.001469,               0.001469,               0.001469
                     15,                  1.698,                 2.0422,                  1.741,                 1.6806,                 2.3294,                 1.6042,                0.31674,                0.40416,                0.28614,                0.11404,                  1.904,                 2.3747,                 1.8349,                 1.8056,                 2.4997,                 1.6908,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.6655,                 2.0345,                 1.7338,                 1.6664,                 2.2929,                 1.6272,                 0.3556,                0.37617,                 0.2922,                0.12326,                 1.8684,                 2.3193,                 1.8266,                 1.8455,                 2.5356,                 1.7286,               0.001436,               0.001436,               0.001436
